codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"187","WINDTURBINE","WINDTURBINE","Y","","","","37.47658333N","023.29586667E","0","M","686","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"188","WINDTURBINE","WINDTURBINE","Y","","","","38.45159444N","021.78212500E","0","M","1437","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"189","WINDTURBINE","WINDTURBINE","N","","","","38.45079444N","021.78417778E","0","M","1390","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"190","WINDTURBINE","WINDTURBINE","N","","","","38.44970278N","021.78590833E","0","M","1368","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"191","WINDTURBINE","WINDTURBINE","Y","","","","38.44859167N","021.78788889E","0","M","1378","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"192","WINDTURBINE","WINDTURBINE","N","","","","38.44704444N","021.78932222E","0","M","1379","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"193","WINDTURBINE","WINDTURBINE","N","","","","38.44553056N","021.79045000E","0","M","1372","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"194","WINDTURBINE","WINDTURBINE","Y","","","","38.44373056N","021.79133889E","0","M","1350","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"195","WINDTURBINE","WINDTURBINE","N","","","","38.44230278N","021.79192222E","0","M","1327","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"196","WINDTURBINE","WINDTURBINE","Y","","","","38.43681944N","021.79279722E","0","M","1157","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
