codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"83738","CHIMNEY","PISEK","Y","Y","Night marking","Day marking","49.28986389N","014.15412778E","0","M","522","0","142","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83881","CHIMNEY","PLANA NAD LUZNICI","Y","Y","Night marking","Day marking","49.36807500N","014.70181389E","0","M","518","0","103","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83575","CHIMNEY","PLZEN","Y","Y","Night marking","Day marking","49.75437222N","013.39879167E","0","M","490","0","171","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83577","OTHER","PLZEN","N","N","","","49.74759167N","013.37727778E","0","M","415","0","102","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Church","LK|ENR|5.4|2019-04-17|CSV"
"83576","CHIMNEY","PLZEN","Y","Y","Night marking","Day marking","49.73941389N","013.34446111E","0","M","448","0","112","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"99851","TOWER","POCERADY","Y","Y","Night marking","Day marking","50.43023611N","013.67480556E","0","M","343","0","129","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Cooling tower","LK|ENR|5.4|2019-04-17|CSV"
"99853","CHIMNEY","POCERADY","Y","Y","Night marking","Day marking","50.42850833N","013.67638889E","0","M","326","0","113","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"99852","CHIMNEY","POCERADY","Y","Y","Night marking","Day marking","50.42875556N","013.67598889E","0","M","326","0","113","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83541","TOWER","POCERADY","N","Y","","Day marking","50.43048889N","013.67700556E","0","M","313","0","102","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Cooling tower","LK|ENR|5.4|2019-04-17|CSV"
"83540","CHIMNEY","POCERADY","Y","Y","Night marking","Day marking","50.42661667N","013.67733611E","0","M","415","0","203","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83543","TOWER","POCERADY","N","Y","","Day marking","50.42985278N","013.67799444E","0","M","314","0","106","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Cooling tower","LK|ENR|5.4|2019-04-17|CSV"
"83542","TOWER","POCERADY","N","Y","","Day marking","50.43081111N","013.67848611E","0","M","314","0","104","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Cooling tower","LK|ENR|5.4|2019-04-17|CSV"
"83537","CHIMNEY","POCERADY","Y","Y","Night marking","Day marking","50.42675000N","013.67883889E","0","M","415","0","205","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83539","TOWER","POCERADY","N","Y","","Day marking","50.43017500N","013.67948889E","0","M","314","0","104","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Cooling tower","LK|ENR|5.4|2019-04-17|CSV"
"83538","CHIMNEY","POCERADY","Y","Y","Night marking","Day marking","50.42806667N","013.67673333E","0","M","436","0","224","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83871","MAST","PODEBRADY","Y","Y","Night marking","Day marking","50.13658056N","015.14440833E","0","M","338","0","150","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Mast","LK|ENR|5.4|2019-04-17|CSV"
"83872","MAST","PODEBRADY","Y","Y","Night marking","Day marking","50.13882778N","015.14430278E","0","M","338","0","150","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Mast","LK|ENR|5.4|2019-04-17|CSV"
"83719","CHIMNEY","POSTORNA","Y","Y","Night marking","Day marking","48.73919444N","016.86690833E","0","M","291","0","131","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83756","ANTENNA","PRADED","Y","Y","Night marking","Day marking","50.08308056N","017.23096389E","0","M","1642","0","150","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Tv transmitter","LK|ENR|5.4|2019-04-17|CSV"
