codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
109,MAST,STENKULLEN,YES,,F R,,57.802166,12.32325,0,M,646,0,384,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
110,CHIMNEY,VÄRÖ/BUA,YES,,F R,,57.22375,12.172306,0,M,419,0,397,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
114,MAST,BORÅS/DALSJÖFORS,YES,,F R/FLG W,,57.72392,13.055972,0,M,2107,0,1089,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
116,MAST,FINNVEDEN,YES,,F R/FLG W,,57.235943,13.717444,0,M,1673,0,853,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
122,MAST,JÖNKÖPING/BONDBERGET,YES,,F R,,57.769444,14.247945,0,M,1316,0,446,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
128,MAST,NÄSSJÖ 1,YES,,FLG W,,57.6435,14.669028,0,M,2136,0,1063,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
130,MAST,KISA/1,YES,,F R/FLG W,,57.95761,15.5894165,0,M,1902,0,1086,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
134,MAST,MÖRLUNDA,YES,,F R,,57.323334,15.984222,0,M,889,0,417,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
145,MAST,LOFTAHAMMAR,YES,,F R,,57.909946,16.741446,0,M,491,0,367,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
146,MAST,RUDA,YES,,F R/FLG W,,57.12033,16.153,0,M,999,0,696,YES,FT,300,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast Note:Support cables within radius 300 m.,Swedish Aeronautical Information Service
147,MAST,VÄSTERVIK/FÅRHULT,YES,,F R/FLG W,,57.720917,16.426054,0,M,1396,0,1099,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
148,MAST,VÄSTERVIK/MARIELUND,YES,,F R,,57.726166,16.65925,0,M,485,0,413,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
149,CHIMNEY,OSKARSHAMN/SIMPEVARP,YES,,F R,,57.41286,16.66797,0,M,380,0,361,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
152,MAST,BYXELKROK,YES,,F R,,57.351887,17.068474,0,M,443,0,420,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
154,MAST,SUNDRE,YES,,F R,,56.936363,18.22128,0,M,467,0,371,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
159,MAST,IRE,YES,,F R,,57.82144,18.607529,0,M,520,0,420,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
160,MAST,VISBY/FOLLINGBO,YES,,F R/FLG W,,57.592667,18.372972,0,M,1109,0,853,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
161,MAST,VISBY/YGNE,YES,,F R/FLG W,,57.585472,18.183666,0,M,619,0,459,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
165,MAST,BUNGE,YES,,F R,,57.86553,19.002222,0,M,575,0,387,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
176,MAST,STRÖMSTAD,YES,,F R,,58.93539,11.185805,0,M,510,0,377,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
177,MAST,UDDEVALLA/HERRESTAD,YES,,F R/FLG W,,58.374027,11.821389,0,M,1588,0,1089,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
179,MAST,TANUM,YES,,F R,,58.727028,11.424417,0,M,845,0,387,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
180,MAST,SVANESUND/ORUST,YES,,F R,,58.19114,11.801056,0,M,704,0,417,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
181,CHIMNEY,LYSEKIL,YES,,F R,,58.345417,11.421695,0,M,541,0,459,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
186,MAST,BÄCKEFORS,YES,,F R/FLG W,,58.82222,12.200222,0,M,1785,0,1073,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
191,MAST,TROLLHÄTTAN/STRÖMSLUND,YES,,F R,,58.28986,12.277139,0,M,686,0,394,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
199,MAST,SKÖVDE/BILLINGEN,YES,,FLG W,,58.40978,13.813473,0,M,2000,0,1070,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
215,MAST,MOTALA/BONDEBACKA,NO,,,,58.546192,15.042418,0,M,821,0,410,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
217,MAST,NYKIL,YES,,F R,,58.212307,15.430445,0,M,881,0,344,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
219,OTHER,LINKÖPING/DOMKYRKA,NO,,,,58.411278,15.6175,0,M,538,0,344,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Church,Swedish Aeronautical Information Service
220,MAST,MOTALA/ERVASTEBY,YES,,F R/FLG W,,58.588387,15.095833,0,M,1600,0,1089,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
227,MAST,ÅTVIDABERG,YES,,F R,,58.20503,16.027472,0,M,744,0,354,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
228,CHIMNEY,MARVIKEN,YES,,F R,,58.55386,16.83225,0,M,473,0,459,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
