obs_id;aip_id;obs_txt_name;obs_txt_name_cz;obs_txt_descr_type;obs_txt_descr_type_cz;obs_val_elev;obs_val_hgt;obs_uom_dist_ver;obs_txt_ver_datum;obs_geo_lat;obs_geo_long;obs_code_datum;obs_txt_descr_marking;obs_txt_descr_marking_cz;obs_txt_descr_lgt;obs_txt_descr_lgt_cz;obs_code_lgt;obs_txt_rmk;obs_txt_rmk_cz
83623;20;KRASOV;KRAŠOV;radio transmitter;rozhlasový vysílač;1056;340;M;BpV;495944.00N;0130445.74E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83636;146;KRIVENICE;KŘIVENICE;chimney;komín;301;141;M;BpV;502452.05N;0142447.76E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83635;151;KRIVENICE;KŘIVENICE;chimney;komín;431;271;M;BpV;502442.99N;0142507.62E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83637;152;KRIVENICE;KŘIVENICE;building;budova;302;142;M;BpV;502445.72N;0142510.02E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83632;147;KRIVENICE;KŘIVENICE;chimney;komín;281;121;M;BpV;502453.41N;0142448.25E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83631;148;KRIVENICE;KŘIVENICE;chimney;komín;282;122;M;BpV;502451.63N;0142451.81E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83634;149;KRIVENICE;KŘIVENICE;chimney;komín;311;151;M;BpV;502444.77N;0142500.21E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83633;153;KRIVENICE;KŘIVENICE;cooling tower;chladící věž;278;118;M;BpV;502446.53N;0142523.38E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83716;309;KRNOV;KRNOV;chimney;komín;444;125;M;BpV;500515.49N;0174128.01E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99916;414c;KROCLOV;KROCLOV;pole;sloup;505;23;M;BpV;485358.74N;0142250.08E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:414c (Part of line obstacle: 414);NR:414c (Součást liniové překážky: 414)
99915;414b;KROCLOV;KROCLOV;transmission line;el. vedení;516;100;M;BpV;485349.28N;0142249.26E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:414b (Part of line obstacle: 414);NR:414b (Součást liniové překážky: 414)
99914;414a;KROCLOV;KROCLOV;pole;sloup;523;24;M;BpV;485342.74N;0142248.65E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:414a (Part of line obstacle: 414);NR:414a (Součást liniové překážky: 414)
83591;296;KROMERIZ;KROMĚŘÍŽ;chimney;komín;293;103;M;BpV;491828.52N;0172348.23E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83786;25;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;953;120;M;BpV;502630.88N;0130705.84E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83785;26;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;957;120;M;BpV;502622.54N;0130707.54E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83788;29;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;925;120;M;BpV;502648.58N;0130712.90E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
