codeGroup,groupInternalId,name,type,lighted,markingDescription,heightUnit,heightValue,elevationValue,latutide,longitude,defaultHeightFlag,verticalPrecision,lateralPrecision,obstacleRadius,linkedToGroupInternalId,linkType
,,ENBW WINDPARK BALTIC 2 N5,Wind turbine,true,,ft,456,138.9888,54.98528,13.216944,false,,,,,
,,ENBW WINDPARK BALTIC 2 O3,Wind turbine,true,,ft,456,138.9888,54.998333,13.222221,false,,,,,
,,ENBW WINDPARK BALTIC 2 O4,Wind turbine,true,,ft,456,138.9888,54.99361,13.224444,false,,,,,
,,ENBW WINDPARK BALTIC 2 I7,Wind turbine,true,,ft,456,138.9888,54.97111,13.1675005,false,,,,,
,,ENBW WINDPARK BALTIC 2 J3,Wind turbine,true,,ft,456,138.9888,54.996387,13.1669445,false,,,,,
,,ENBW WINDPARK BALTIC 2 J4,Wind turbine,true,,ft,456,138.9888,54.990833,13.169445,false,,,,,
,,ENBW WINDPARK BALTIC 2 J5,Wind turbine,true,,ft,456,138.9888,54.985558,13.171945,false,,,,,
,,ENBW WINDPARK BALTIC 2 J7,Wind turbine,true,,ft,456,138.9888,54.974724,13.176945,false,,,,,
,,ENBW WINDPARK BALTIC 2 K3,Wind turbine,true,,ft,456,138.9888,54.996113,13.178333,false,,,,,
,,ENBW WINDPARK BALTIC 2 K4,Wind turbine,true,,ft,456,138.9888,54.990276,13.180834,false,,,,,
,,ENBW WINDPARK BALTIC 2 K5,Wind turbine,true,,ft,456,138.9888,54.984722,13.183611,false,,,,,
,,ENBW WINDPARK BALTIC 2 K6,Wind turbine,true,,ft,456,138.9888,54.979168,13.186111,false,,,,,
,,ENBW WINDPARK BALTIC 2 K7,Wind turbine,true,,ft,456,138.9888,54.97361,13.188889,false,,,,,
,,BARSEBÄCK/MALMÖ,Chimney,true,,ft,361,113.08080000000001,55.744194,12.921722,false,,,,,
,,MALMÖ/LIMHAMN 3,Chimney,true,,ft,394,123.1392,55.59,12.929167,false,,,,,
,,ÖRESUNDSBRON,Bridge pylon\, 60 per minute,true,,ft,669,203.9112,55.574722,12.830833,false,,,,,
,,ÖRESUNDSBRON,Bridge pylon\, 60 per minute,true,,ft,669,203.9112,55.575554,12.823055,false,,,,,
,,BARSEBÄCK,Mast,true,,ft,328,102.4128,55.745724,12.930112,false,,,,,
,,BARSEBÄCK/MALMÖ,Chimney,true,,ft,361,110.03280000000001,55.74475,12.920167,false,,,,,
,,KLÖSINGE,Wind turbine,true,,ft,335,152.0952,55.90778,12.984722,false,,,,,
,,KLÖSINGE,Wind turbine,true,,ft,335,152.0952,55.90806,12.990001,false,,,,,
,,KLÖSINGE,Wind turbine,true,,ft,335,152.0952,55.911114,12.986112,false,,,,,
,,KLÖSINGE,Wind turbine,true,,ft,335,152.0952,55.911114,12.991389,false,,,,,
,,KLÖSINGE,Wind turbine,true,,ft,335,152.0952,55.914448,12.9875,false,,,,,
,,KLÖSINGE,Wind turbine,true,,ft,335,153.0096,55.914448,12.992778,false,,,,,
,,LUNDÅKRA,Wind turbine,true,,ft,394,120.0912,55.861942,12.867778,false,,,,,
